Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,,
"Brennan, J.C., He, G., Tsutsumi, T., Zhao, J., Wirth, E., Fulton, M.H., Denison, M.S.",Development of Species-Specific Ah Receptor-Responsive Third Generation CALUX Cell Lines with Enhanced Responsiveness and Improved Detection Limits,2015,Environmental Science and Technology,49,19,,11903,11912,,6,10.1021/acs.est.5b02906,Article,,
"Graham, C.T., Wilson, M.W., Gittings, T., Kelly, T.C., Irwin, S., Quinn, J.L., O’Halloran, J.",Implications of afforestation for bird communities: the importance of preceding land-use type,2015,Biodiversity and Conservation,,,,,,,1,10.1007/s10531-015-0987-4,Article in Press,,
"Tosenberger, A., Bessonov, N., Levin, M., Reinberg, N., Volpert, V., Morozova, N.",A Conceptual Model of Morphogenesis and Regeneration,2015,Acta Biotheoretica,63,3,,283,294,,7,10.1007/s10441-015-9249-9,Article,,
"Ding, Z.-J., Li, D.-L., Wan, D.-M., Yin, J.-X., Zhang, L.",Avian diversity and bird strike avoidance at Shenyang Taoxian International Airport,2015,Chinese Journal of Ecology,34,9,,2561,2567,,,,Article,,
"Liu, S., Jiang, J., Li, L., Amato, N.J., Wang, Z., Wang, Y.",Arsenite Targets the Zinc Finger Domains of Tet Proteins and Inhibits Tet-Mediated Oxidation of 5-Methylcytosine,2015,Environmental Science and Technology,49,19,,11923,11931,,10,10.1021/acs.est.5b03386,Article,,
"Eshete, G., Tesfay, G., Bauer, H., Ashenafi, Z.T., de Iongh, H., Marino, J.",Community Resource Uses and Ethiopian Wolf Conservation in Mount Abune Yosef,2015,Environmental Management,56,3,,684,694,,,10.1007/s00267-015-0529-6,Article,,
"Cowan, P., Booth, L., Crowell, M.",Repellents with potential to protect kea and other native birds from aerial poisoning for possum and rat control,2015,New Zealand Journal of Ecology,40,1,,,,,4,,Review,,
"Wario, H.T., Roba, H.G., Kaufmann, B.",Shaping the Herders’ “Mental Maps”: Participatory Mapping with Pastoralists’ to Understand Their Grazing Area Differentiation and Characterization,2015,Environmental Management,56,3,,721,737,,6,10.1007/s00267-015-0532-y,Article,,
"Fort, J., Lacoue-Labarthe, T., Nguyen, H.L., Boué, A., Spitz, J., Bustamante, P.","Mercury in wintering seabirds, an aggravating factor to winter wrecks?",2015,Science of the Total Environment,527-528,,,448,454,,5,10.1016/j.scitotenv.2015.05.018,Article,,
"Kim, Y.H., Wyrzykowska-Ceradini, B., Touati, A., Krantz, Q.T., Dye, J.A., Linak, W.P., Gullett, B., Gilmour, M.I.",Characterization of Size-Fractionated Airborne Particles Inside an Electronic Waste Recycling Facility and Acute Toxicity Testing in Mice,2015,Environmental Science and Technology,49,19,,11543,11550,,5,10.1021/acs.est.5b03263,Article,,
"Bernacchi, L.A., Ragland, C.J., Peterson, T.R.","Engaging active stakeholders in implementation of community-based conservation: Whooping crane management in Texas, USA",2015,Wildlife Society Bulletin,39,3,,564,573,,1,10.1002/wsb.565,Article,,
"McGovern, E.B., Kretser, H.E.",Predicting support for recolonization of mountain lions (Puma concolor) in the Adirondack park,2015,Wildlife Society Bulletin,39,3,,503,511,,1,10.1002/wsb.557,Article,,
"Veselý, S., Dohnal, M.",Environmental consequences of wildlife tourism: The use of formalised qualitative models,2015,Ekologia Bratislava,34,3,,260,267,,,10.1515/eko-2015-0025,Article,,
"Glisson, W.J., Brady, R.S., Paulios, A.T., Jacobi, S.K., Larkin, D.J.",Sensitivity of secretive marsh birds to vegetation condition in natural and restored wetlands in Wisconsin,2015,Journal of Wildlife Management,79,7,,1101,1116,,2,10.1002/jwmg.937,Article,,
"Mondragón, A.J., Islas, C.G.-R., Castillo, A., Frapolli, E.G., De Jesús Ordoñez Díaz, M.",Managing wildlife as commons: A case study in México | La vida silvestre manejada como recursos de uso común: Estudio de caso en Mexico,2015,Tropical and Subtropical Agroecosystems,18,3,,313,331,,,,Article,,
"Schmidt, J.I., Kellie, K.A., Chapin, F.S.","Detecting, estimating, and correcting for biases in harvest data",2015,Journal of Wildlife Management,79,7,,1152,1162,,3,10.1002/jwmg.928,Article,,
"Hope, A.G., Waltari, E., Malaney, J.L., Payer, D.C., Cook, J.A., Talbot, S.L.",Arctic biodiversity: Increasing richness accompanies shrinking refugia for a cold-associated tundra fauna,2015,Ecosphere,6,9,159,,,,3,10.1890/ES15-00104.1,Article,,
"De Frutos, A., Olea, P.P., Mateo-Tomás, P.",Responses of medium- and large-sized bird diversity to irrigation in dry cereal agroecosystems across spatial scales,2015,"Agriculture, Ecosystems and Environment",207,,,141,152,,3,10.1016/j.agee.2015.04.009,Article,,
"Hillman, M.D., Karpanty, S.M., Fraser, J.D., DeRose-Wilson, A.",Effects of aircraft and recreation on colonial waterbird nesting behavior,2015,Journal of Wildlife Management,79,7,,1192,1198,,1,10.1002/jwmg.925,Article,,
"Parsons, A.W., Simons, T.R., Pollock, K.H., Stoskopf, M.K., Stocking, J.J., O'Connell, A.F.",Camera traps and mark-resight models: The value of ancillary data for evaluating assumptions,2015,Journal of Wildlife Management,79,7,,1163,1172,,1,10.1002/jwmg.931,Article,,
"Makinde, O.J., Inuwa, M.",The use of agro industrial by-products in the diet of grower Turkeys,2015,Tropical and Subtropical Agroecosystems,18,3,,371,378,,,,Article,,
"Thapa Karki, S., Hubacek, K.","Developing a conceptual framework for the attitude-intention-behaviour links driving illegal resource extraction in Bardia National Park, Nepal",2015,Ecological Economics,117,,,129,139,,2,10.1016/j.ecolecon.2015.06.022,Article,,
"Lyons, T.P., Miller, J.R., Debinski, D.M., Engle, D.M.",Predator identity influences the effect of habitat management on nest predation,2015,Ecological Applications,25,6,,1596,1605,,8,,Article,,
"Butler, J.R.A., Young, J.C., McMyn, I.A.G., Leyshon, B., Graham, I.M., Walker, I., Baxter, J.M., Dodd, J., Warburton, C.",Evaluating adaptive co-management as conservation conflict resolution: Learning from seals and salmon,2015,Journal of Environmental Management,160,,,212,225,,10,10.1016/j.jenvman.2015.06.019,Article,,
"Ichinokawa, M., Okamura, H., Watanabe, C., Kawabata, A., Oozeki, Y.",Effective time closures: Quantifying the conservation benefits of input control for the Pacific chub mackerel fishery,2015,Ecological Applications,25,6,,1566,1584,,4,,Article,,
"Williams, B.K., Johnson, F.A.",Value of information and natural resources decision-making,2015,Wildlife Society Bulletin,39,3,,488,496,,5,10.1002/wsb.575,Article,,
"Severud, W.J., Giudice, G.D., Obermoller, T.R., Enright, T.A., Wright, R.G., Forester, J.D.",Using GPS collars to determine parturition and cause-specific mortality of moose calves,2015,Wildlife Society Bulletin,39,3,,616,625,,5,10.1002/wsb.558,Article,,
"Sõlymos, P., Morrison, S.F., Kariyeva, J., Schieck, J., Haughland, D.L., Azeria, E.T., Cobb, T., Hinchliffe, R., Kittson, J., McIntosh, A.C.S., Narwani, T., Pierossi, P., Roy, M.-C., Sandybayev, T., Boutin, S., Bayne, E.",Data and information management for the monitoring of biodiversity in Alberta,2015,Wildlife Society Bulletin,39,3,,472,479,,1,10.1002/wsb.564,Article,,
"Rayl, N.D., Fuller, T.K., Organ, J.F., McDonald, J.E., Otto, R.D., Bastille-Rousseau, G., Soulliere, C.E., Mahoney, S.P.",Spatiotemporal variation in the distribution of potential predators of a resource pulse: Black bears and caribou calves in Newfoundland,2015,Journal of Wildlife Management,79,7,,1041,1050,,,10.1002/jwmg.936,Article,,
"Huon, M., Jones, E.L., Matthiopoulos, J., McConnell, B., Caurant, F., Vincent, C.",Habitat selection of gray seals (Halichoerus grypus) in a marine protected area in France,2015,Journal of Wildlife Management,79,7,,1091,1100,,3,10.1002/jwmg.929,Article,,
"Kebede, A.T., Coppock, D.L.",Livestock-Mediated Dispersal of Prosopis juliflora Imperils Grasslands and the Endangered Grevy's Zebra in Northeastern Ethiopia,2015,Rangeland Ecology and Management,68,5,,402,407,,3,10.1016/j.rama.2015.07.002,Article,,
"Wood, P.B., Ammer, F.K.",Grasshopper sparrow reproductive success and habitat use on reclaimed surface mines varies by age of reclamation,2015,Wildlife Society Bulletin,39,3,,512,520,,2,10.1002/wsb.563,Article,,
"Kaiser, Z.D.E., O'Keefe, J.M.",Data acquisition varies by bat phonic group for 2 types of bat detectors when weatherproofed and paired in field settings,2015,Wildlife Society Bulletin,39,3,,635,644,,,10.1002/wsb.572,Article,,
"Jean, P.-O., Bradley, R.L., Tremblay, J.-P., Cote, S.D.",Combining near infrared spectra of feces and geostatistics to generate forage nutritional quality maps across landscapes,2015,Ecological Applications,25,6,,1630,1639,,4,,Article,,
"Harvey, J., Gooseff, M.",River corridor science: Hydrologic exchange and ecological consequences from bedforms to basins,2015,Water Resources Research,51,9,,6893,6922,,27,10.1002/2015WR017617,Review,,
"Dicks, L.V., Baude, M., Roberts, S.P.M., Phillips, J., Green, M., Carvell, C.",How much flower-rich habitat is enough for wild pollinators? Answering a key policy question with incomplete knowledge,2015,Ecological Entomology,40,S1,,22,35,,20,10.1111/een.12226,Article,,
"Greet, J., Rees, P.",Slashing may have potential for controlling Phragmites australis in long-inundated parts of a Ramsar-listed wetland,2015,Ecological Management and Restoration,16,3,,233,236,,,10.1111/emr.12183,Article,,
"Pienaar, E.F., Kreye, M.M., Jacobs, C.",Conflicts between Cattlemen and the Florida Panther: Insights and Policy Recommendations from Interviews with Florida Cattlemen,2015,Human Ecology,43,4,,577,588,,3,10.1007/s10745-015-9765-x,Article,,
"Misaki, K., Suzuki, G., Tue, N.M., Takahashi, S., Someya, M., Takigami, H., Tajima, Y., Yamada, T.K., Amano, M., Isobe, T., Tanabe, S.",Toxic Identification and Evaluation of Androgen Receptor Antagonistic Activities in Acid-Treated Liver Extracts of High-Trophic Level Wild Animals from Japan,2015,Environmental Science and Technology,49,19,,11840,11848,,1,10.1021/acs.est.5b02288,Article,,
"Levêque, J., Marzano, M., Broome, A., Connolly, T., Dandy, N.",Forest visitor perceptions of recreational impacts on amphibian wildlife,2015,European Journal of Wildlife Research,61,4,,505,515,,,10.1007/s10344-015-0920-x,Article,,
"Higgins, O., Shackleton, C.M.",The benefits from and barriers to participation in civic environmental organisations in South Africa,2015,Biodiversity and Conservation,24,8,,2031,2046,,,10.1007/s10531-015-0924-6,Article,,
"van Doormaal, N., Ohashi, H., Koike, S., Kaji, K.",Influence of human activities on the activity patterns of Japanese sika deer (Cervus nippon) and wild boar (Sus scrofa) in Central Japan,2015,European Journal of Wildlife Research,61,4,,517,527,,3,10.1007/s10344-015-0922-8,Article,,
"Lambret, P., Besnard, A., Matushkina, N.",Plant preference during oviposition in the endangered dragonfly Lestes macrostigma (Odonata: Zygoptera) and consequences for its conservation,2015,Journal of Insect Conservation,19,4,,741,752,,4,10.1007/s10841-015-9796-z,Article,,
"Badenhausser, I., Gross, N., Cordeau, S., Bruneteau, L., Vandier, M.",Enhancing grasshopper (Orthoptera: Acrididae) communities in sown margin strips: the role of plant diversity and identity,2015,Arthropod-Plant Interactions,9,4,,333,346,,2,10.1007/s11829-015-9376-x,Article,,
"Temming, A., Hufnagl, M.",Decreasing predation levels and increasing landings challenge the paradigm of non-management of North Sea brown shrimp (Crangon crangon),2015,ICES Journal of Marine Science,72,3,,804,823,,4,10.1093/icesjms/fsu194,Article,,
"Lewis, P.-M., Burns, G.L., Jones, D.",Response and Responsibility: Humans as apex predators and ethical actors in a changing societal environment,2015,Food Webs,,,,,,,,10.1016/j.fooweb.2016.09.001,Article in Press,,
"Wang, Y., Wei, L., Wei, D., Li, X., Xu, L., Wei, L.",Testis-specific lactate dehydrogenase (LDH-C&lt;inf&gt;4&lt;/inf&gt;) in skeletal muscle enhances Apika’s sprint-running capacity in hypoxic environment,2015,International Journal of Environmental Research and Public Health,12,8,,9218,9236,,6,10.3390/ijerph120809218,Article,,
"Brown, D.J., Ferrato, J.R., White, C.J., Mali, I., Forstner, M.R.J., Simpson, T.R.",Short-term changes in summer and winter resident bird communities following a high severity wildfire in a southern USA mixed pine/hardwood forest,2015,Forest Ecology and Management,350,,,13,21,,2,10.1016/j.foreco.2015.04.017,Article,,
"Warish, A., Triplett, C., Gomi, R., Gyawali, P., Hodgers, L., Toze, S.",Assessment of Genetic Markers for Tracking the Sources of Human Wastewater Associated Escherichia coli in Environmental Waters,2015,Environmental Science and Technology,49,15,,9341,9346,,2,10.1021/acs.est.5b02163,Article,,
"Masbou, J., Point, D., Sonke, J.E., Frappart, F., Perrot, V., Amouroux, D., Richard, P., Becker, P.R.",Hg Stable Isotope Time Trend in Ringed Seals Registers Decreasing Sea Ice Cover in the Alaskan Arctic,2015,Environmental Science and Technology,49,15,,8977,8985,,3,10.1021/es5048446,Article,,
"Schuster, E., Bulling, L., Köppel, J.",Consolidating the State of Knowledge: A Synoptical Review of Wind Energy’s Wildlife Effects,2015,Environmental Management,56,2,,300,331,,18,10.1007/s00267-015-0501-5,Article,,
"Richmond, S., Jenkins, E., Couturier, A., Cadman, M.","Thresholds in forest bird richness in response to three types of forest cover in Ontario, Canada",2015,Landscape Ecology,30,7,,1273,1290,,2,10.1007/s10980-015-0183-7,Article,,
"Ehlers Smith, Y.C., Ehlers Smith, D.A., Seymour, C.L., Thébault, E., van Veen, F.J.F.",Response of avian diversity to habitat modification can be predicted from life-history traits and ecological attributes,2015,Landscape Ecology,30,7,,1225,1239,,12,10.1007/s10980-015-0172-x,Article,,
"Clark, S.G., Vernon, M.E.","Governance Challenges in Joint Inter-Jurisdictional Management: The Grand Teton National Park, Wyoming, Elk Case",2015,Environmental Management,56,2,,286,299,,3,10.1007/s00267-015-0515-z,Article,,
"Buechley, E.R., ?ekercio?lu, T.H., Atickem, A., Gebremichael., G., Ndungu, J.K., Mahamued, B.A., Beyene, T., Mekonnen, T., Lens, L.",Importance of Ethiopian shade coffee farms for forest bird conservation,2015,Biological Conservation,188,,,50,60,,19,10.1016/j.biocon.2015.01.011,Article,,
"Svancara, C.M., Lien, A.M., Vanasco, W.T., López-Hoffman, L., Bonar, S.A., Ruyle, G.B.",Jaguar Critical Habitat Designation Causes Concern for Southwestern Ranchers,2015,Rangelands,37,4,,144,151,,,10.1016/j.rala.2015.05.003,Article,,
"Dondina, O., Orioli, V., Massimino, D., Pinoli, G., Bani, L.",A method to evaluate the combined effect of tree species composition and woodland structure on indicator birds,2015,Ecological Indicators,55,,,44,51,,3,10.1016/j.ecolind.2015.03.007,Article,,
"Colorado Zuluaga, G.J., Rodewald, A.D.",Response of mixed-species flocks to habitat alteration and deforestation in the Andes,2015,Biological Conservation,188,,,72,81,,5,10.1016/j.biocon.2015.02.008,Article,,
"Piazza, G.J., Lora, J.H., Garcia, R.A.",Flocculation of kaolin and lignin by bovine blood and hemoglobin,2015,Journal of Chemical Technology and Biotechnology,90,8,,1419,1425,,5,10.1002/jctb.4443,Article,,
"Abril, N., Chicano-Gálvez, E., Michán, C., Pueyo, C., López-Barea, J.",ITRAQ analysis of hepatic proteins in free-living Mus spretus mice to assess the contamination status of areas surrounding Doñana National Park (SW Spain),2015,Science of the Total Environment,523,,,16,27,,7,10.1016/j.scitotenv.2015.03.116,Article,,
"Fortin, D., Buono, P.-L., Schmitz, O.J., Courbin, N., Losier, C., St-Laurent, M.-H., Drapeau, P., Heppell, S., Dussault, C., Brodeur, V., Mainguy, J.",A spatial theory for characterizing predator – Multiprey interactions in heterogeneous landscapes,2015,Proceedings of the Royal Society B: Biological Sciences,282,1812,,,,,8,10.1098/rspb.2015.0973,Article,,
"Spooner, P.G.","Minor rural road networks: Values, challenges, and opportunities for biodiversity conservation",2015,Nature Conservation,11,,,129,142,,2,10.3897/natureconservation.11.4434,Article,,
"Kubota, Y., Tsuji, H., Kawagoshi, T., Shiomi, N., Takahashi, H., Watanabe, Y., Fuma, S., Doi, K., Kawaguchi, I., Aoki, M., Kubota, M., Furuhata, Y., Shigemura, Y., Mizoguchi, M., Yamada, F., Tomozawa, M., Sakamoto, S.H., Yoshida, S.",Chromosomal Aberrations in Wild Mice Captured in Areas Differentially Contaminated by the Fukushima Dai-Ichi Nuclear Power Plant Accident,2015,Environmental Science and Technology,49,16,,10074,10083,,6,10.1021/acs.est.5b01554,Article,,
"Neckles, H.A., Lyons, J.E., Guntenspergen, G.R., Shriver, W.G., Adamowicz, S.C.",Use of Structured Decision Making to Identify Monitoring Variables and Management Priorities for Salt Marsh Ecosystems,2015,Estuaries and Coasts,38,4,,1215,1232,,5,10.1007/s12237-014-9822-5,Article,,
"Weise, F.J., Lemeris, J., Stratford, K.J., van Vuuren, R.J., Munro, S.J., Crawford, S.J., Marker, L.L., Stein, A.B.",A home away from home: insights from successful leopard (Panthera pardus) translocations,2015,Biodiversity and Conservation,24,7,,1755,1774,,6,10.1007/s10531-015-0895-7,Article,,
"Jaligama, S., Chen, Z., Saravia, J., Yadav, N., Lomnicki, S.M., Dugas, T.R., Cormier, S.A.",Exposure to Deepwater Horizon Crude Oil Burnoff Particulate Matter Induces Pulmonary Inflammation and Alters Adaptive Immune Response,2015,Environmental Science and Technology,49,14,,8769,8776,,7,10.1021/acs.est.5b01439,Article,,
"Nhu, T.T., Dewulf, J., Serruys, P., Huysveld, S., Nguyen, C.V., Sorgeloos, P., Schaubroeck, T.",Resource usage of integrated Pig-Biogas-Fish system: Partitioning and substitution within attributional life cycle assessment,2015,"Resources, Conservation and Recycling",102,,3048,27,38,,6,10.1016/j.resconrec.2015.06.011,Article,,
"Khorami Pour, S., Monavari, S.M., Riazi, B., Khorasani, N.",Caspian Rapid Assessment Method: a localized procedure for assessment of wetlands at southern fringe of the Caspian Sea,2015,Environmental Monitoring and Assessment,187,7,420,,,,,10.1007/s10661-015-4552-0,Article,,
"Zheng, W., Xie, Z., Bergquist, B.A.","Mercury Stable Isotopes in Ornithogenic Deposits As Tracers of Historical Cycling of Mercury in Ross Sea, Antarctica",2015,Environmental Science and Technology,49,13,,7623,7632,,8,10.1021/acs.est.5b00523,Article,,
"Zhang, L., Hatzakis, E., Nichols, R.G., Hao, R., Correll, J., Smith, P.B., Chiaro, C.R., Perdew, G.H., Patterson, A.D.",Metabolomics Reveals that Aryl Hydrocarbon Receptor Activation by Environmental Chemicals Induces Systemic Metabolic Dysfunction in Mice,2015,Environmental Science and Technology,49,13,,8067,8077,,15,10.1021/acs.est.5b01389,Article,,
"Long, A.K., Knapp, D.D., Mccullough, L., Smith, L.L., Conner, L.M., Mccleery, R.A.",Southern toads alter their behavior in response to red-imported fire ants,2015,Biological Invasions,17,7,,2179,2186,,3,10.1007/s10530-015-0869-4,Article,,
"Krynak, K.L., Oldfield, R.G., Dennis, P.M., Durkalec, M., Weldon, C.","A novel field technique to assess ploidy in introduced Grass Carp (Ctenopharyngodon idella, Cyprinidae)",2015,Biological Invasions,17,7,,1931,1939,,2,10.1007/s10530-015-0856-9,Article,,
"Zhang, H., Wang, Z., Zhang, Y., Ding, M., Li, L.",Identification of traffic-related metals and the effects of different environments on their enrichment in roadside soils along the Qinghai-Tibet highway,2015,Science of the Total Environment,521-522,,,160,172,,22,10.1016/j.scitotenv.2015.03.054,Article,,
"Azuma, T., Nakada, N., Yamashita, N., Tanaka, H.","Prediction, risk and control of anti-influenza drugs in the Yodo River Basin, Japan during seasonal and pandemic influenza using the transmission model for infectious disease",2015,Science of the Total Environment,521-522,,,68,74,,2,10.1016/j.scitotenv.2015.03.069,Article,,
"Vilizzi, L., Tarkan, A.S., Copp, G.H.",Experimental Evidence from Causal Criteria Analysis for the Effects of Common Carp Cyprinus carpio on Freshwater Ecosystems: A Global Perspective,2015,Reviews in Fisheries Science and Aquaculture,23,3,,253,290,,18,10.1080/23308249.2015.1051214,Review,,
"Case, M.J., Lawler, J.J., Tomasevic, J.A.",Relative sensitivity to climate change of species in northwestern North America,2015,Biological Conservation,187,,,127,133,,9,10.1016/j.biocon.2015.04.013,Article,,
"Wu, X., Du, J., Li, X.-J., Liao, W.-B.","Avian community structure and bird strike prevention measures at Jiangbei Airport in Chongqing City, China",2015,Chinese Journal of Ecology,34,7,,2015,2024,,,,Article,,
"Steigerwald, E.C., Igual, J.-M., Payo-Payo, A., Tavecchia, G.",Effects of decreased anthropogenic food availability on an opportunistic gull: Evidence for a size-mediated response in breeding females,2015,Ibis,157,3,,439,448,,9,10.1111/ibi.12252,Article,,
"Núñez-Regueiro, M.M., Branch, L., Fletcher, R.J., Marás, G.A., Derlindati, E., Tálamo, A.","Spatial patterns of mammal occurrence in forest strips surrounded by agricultural crops of the Chaco region, Argentina",2015,Biological Conservation,187,,,19,26,,2,10.1016/j.biocon.2015.04.001,Article,,
"Benítez-López, A., Casas, F., Mougeot, F., García, J.T., Martín, C.A., Tatin, L., Wolff, A., Viñuela, J.",Individual traits and extrinsic factors influence survival of the threatened pin-tailed sandgrouse (Pterocles alchata) in Europe,2015,Biological Conservation,187,,,192,200,,2,10.1016/j.biocon.2015.04.019,Article,,
"Ralston, J., King, D.I., DeLuca, W.V., Niemi, G.J., Glennon, M.J., Scarl, J.C., Lambert, J.D.",Analysis of combined data sets yields trend estimates for vulnerable spruce-fir birds in northern United States,2015,Biological Conservation,187,,,270,278,,3,10.1016/j.biocon.2015.04.029,Article,,
"Neary, D.G., Leonard, J.","Wildland fire: Impacts on forest, woodland, and grassland ecological processes",2015,Wildland Fires: A Worldwide Reality,,,,35,112,,2,,Book Chapter,,
"Johnson, H.E., Breck, S.W., Baruch-Mordo, S., Lewis, D.L., Lackey, C.W., Wilson, K.R., Broderick, J., Mao, J.S., Beckmann, J.P.",Shifting perceptions of risk and reward: Dynamic selection for human development by black bears in the western United States,2015,Biological Conservation,187,,,164,172,,13,10.1016/j.biocon.2015.04.014,Article,,
"Leblond, M., Dussault, C., St-Laurent, M.-H.",Low-density spruce plantations increase foraging by moose in a northeastern temperate forest,2015,Forest Ecology and Management,347,,,228,236,,2,10.1016/j.foreco.2015.03.034,Article,,
"Strum, S.C., Stirling, G., Mutunga, S.K.",The perfect storm: Land use change promotes Opuntia stricta's invasion of pastoral rangelands in Kenya,2015,Journal of Arid Environments,118,,,37,47,,10,10.1016/j.jaridenv.2015.02.015,Article,,
"Elie, M.R., Choi, J., Nkrumah-Elie, Y.M., Gonnerman, G.D., Stevens, J.F., Tanguay, R.L.",Metabolomic analysis to define and compare the effects of PAHs and oxygenated PAHs in developing zebrafish,2015,Environmental Research,140,,,502,510,,6,10.1016/j.envres.2015.05.009,Article,,
"Li, X., Harwood, V.J., Nayak, B., Staley, C., Sadowsky, M.J., Weidhaas, J.",A Novel Microbial Source Tracking Microarray for Pathogen Detection and Fecal Source Identification in Environmental Systems,2015,Environmental Science and Technology,49,12,,7319,7329,,11,10.1021/acs.est.5b00980,Article,,
"Little, I.T., Hockey, P.A.R., Jansen, R.",Assessing biodiversity integrity for the conservation of grazed and burnt grassland systems: avian field metabolic rates as a rapid assessment tool,2015,Biodiversity and Conservation,24,6,,1443,1471,,1,10.1007/s10531-015-0868-x,Article,,
"Prince, R.C.",Oil spill dispersants: Boon or bane?,2015,Environmental Science and Technology,49,11,,6376,6384,,26,10.1021/acs.est.5b00961,Article,,
"Jin, L., Gaus, C., Escher, B.I.",Adaptive stress response pathways induced by environmental mixtures of bioaccumulative chemicals in dugongs,2015,Environmental Science and Technology,49,11,,6963,6973,,9,10.1021/acs.est.5b00947,Article,,
"Phelps, J., Webb, E.L.","""Invisible"" wildlife trades: Southeast Asia's undocumented illegal trade in wild ornamental plants",2015,Biological Conservation,186,,,296,305,,15,10.1016/j.biocon.2015.03.030,Article,,
"Eyre, T.J., Ferguson, D.J., Kennedy, M., Rowland, J., Maron, M.",Long term thinning and logging in Australian cypress pine forest: Changes in habitat attributes and response of fauna,2015,Biological Conservation,186,,,83,96,,3,10.1016/j.biocon.2015.03.009,Article,,
"Saraswat, R., Sinha, A., Radhakrishna, S.","A god becomes a pest? Human-rhesus macaque interactions in Himachal Pradesh, northern India",2015,European Journal of Wildlife Research,61,3,,435,443,,3,10.1007/s10344-015-0913-9,Article,,
"Enticott, G.",Public attitudes to badger culling to control bovine tuberculosis in rural Wales,2015,European Journal of Wildlife Research,61,3,,387,398,,2,10.1007/s10344-015-0905-9,Article,,
"Staley, J.T., Amy, S.R., Adams, N.P., Chapman, R.E., Peyton, J.M., Pywell, R.F.",Re-structuring hedges: Rejuvenation management can improve the long term quality of hedgerow habitats for wildlife in the UK,2015,Biological Conservation,186,,,187,196,,3,10.1016/j.biocon.2015.03.002,Article,,
"Tavares, D.C., Guadagnin, D.L., de Moura, J.F., Siciliano, S., Merico, A.",Environmental and anthropogenic factors structuring waterbird habitats of tropical coastal lagoons: Implications for management,2015,Biological Conservation,186,,,12,21,,13,10.1016/j.biocon.2015.02.027,Article,,
"Gnass Giese, E.E., Howe, R.W., Wolf, A.T., Miller, N.A., Walton, N.G.","Sensitivity of breeding birds to the ""human footprint"" in western Great Lakes forest landscapes",2015,Ecosphere,6,6,90,,,,2,10.1890/ES14-00414.1,Article,,
"Schneider, S.C., Fischer, J.D., Miller, J.R.",Two-sided edge responses of avian communities in an urban landscape,2015,Urban Ecosystems,18,2,,539,551,,1,10.1007/s11252-014-0418-4,Article,,
"Dahal, B.R., McAlpine, C.A., Maron, M.",Impacts of extractive forest uses on bird assemblages vary with landscape context in lowland Nepal,2015,Biological Conservation,186,,,167,175,,1,10.1016/j.biocon.2015.03.014,Article,,
"Wang, F., McShea, W.J., Wang, D., Li, S.",Shared resources between giant panda and sympatric wild and domestic mammals,2015,Biological Conservation,186,,,319,325,,5,10.1016/j.biocon.2015.03.032,Article,,
"Grüebler, M.U., Schuler, H., Spaar, R., Naef-Daenzer, B.",Behavioural response to anthropogenic habitat disturbance: Indirect impact of harvesting on whinchat populations in Switzerland,2015,Biological Conservation,186,,,52,59,,3,10.1016/j.biocon.2015.02.031,Article,,
"Arizaga, J., Crespo-Díaz, A., Ansorregi, F., Galdós, A., Urruzola, A., Iriarte, E.",The impact of several environmental factors on density of woodcocks (Scolopax rusticola) wintering in a southern European region,2015,European Journal of Wildlife Research,61,3,,407,413,,2,10.1007/s10344-015-0908-6,Article,,
"Griffiths, A.D., Garnett, S.T., Brook, B.W.",Fire frequency matters more than fire size: Testing the pyrodiversity-biodiversity paradigm for at-risk small mammals in an Australian tropical savanna,2015,Biological Conservation,186,,,337,346,,13,10.1016/j.biocon.2015.03.021,Article,,
"Randriamamonjy, V.C., Keane, A., Razafimanahaka, H.J., Jenkins, R.K.B., Jones, J.P.G.","Consumption of bushmeat around a major mine, and matched communities, in Madagascar",2015,Biological Conservation,186,,,35,43,,1,10.1016/j.biocon.2015.02.033,Article,,
"Boronyak-Vasco, L., Perry, N.","Using tradeable permits to improve efficiency, equity and animal protection in the commercial kangaroo harvest",2015,Ecological Economics,114,,,159,167,,,10.1016/j.ecolecon.2015.03.023,Article,,
"Stratoudakis, Y., Fernández, F., Henriques, M., Martins, J., Martins, R.","Ecological, socioeconomic and governance conditions after the implementation of the first spatial plan in the Prof. Luiz Saldanha Marine Park (Arrábida, Portugal): II - user perceptions | Situação ecológica, socioeconómica e de governança após a implementação do primeiro plano de ordenamento no Parque Marinho Professor Luiz Saldanha (Arrábida, Portugal): II - percepções de utentes",2015,Journal of Integrated Coastal Zone Management,15,2,,167,178,,1,10.5894/rgci578,Article,,
"Burger, J.",Ecological concerns following Superstorm Sandy: stressor level and recreational activity levels affect perceptions of ecosystem,2015,Urban Ecosystems,18,2,,553,575,,4,10.1007/s11252-014-0412-x,Article,,
"Duarte, J., Farfán, M.A., Fa, J.E., Vargas, J.M.",Deer populations inhabiting urban areas in the south of Spain: habitat and conflicts,2015,European Journal of Wildlife Research,61,3,,365,377,,1,10.1007/s10344-015-0902-z,Article,,
